7/20/2018	1,184.91
7/19/2018	1,186.96
7/18/2018	1,195.88
7/17/2018	1,198.80
7/16/2018	1,183.86
7/13/2018	1,188.82
7/12/2018	1,183.48
7/11/2018	1,153.90
7/10/2018	1,152.84
7/9/2018	1,154.05
7/6/2018	1,140.17
7/5/2018	1,124.27
7/3/2018	1,102.89
7/2/2018	1,127.46
6/29/2018	1,115.65
6/28/2018	1,114.22
6/27/2018	1,103.98
6/26/2018	1,118.46
6/25/2018	1,124.81
6/22/2018	1,155.48
6/21/2018	1,157.66
6/20/2018	1,169.84
6/19/2018	1,168.06
6/18/2018	1,173.46
6/15/2018	1,152.26
6/14/2018	1,152.12
6/13/2018	1,134.79
6/12/2018	1,139.32
6/11/2018	1,129.99
6/8/2018	1,120.87
6/7/2018	1,123.86
6/6/2018	1,136.88
6/5/2018	1,139.66
6/4/2018	1,139.29
6/1/2018	1,119.50
5/31/2018	1,084.99
5/30/2018	1,067.80
5/29/2018	1,060.32
5/25/2018	1,075.66
5/24/2018	1,079.24
5/23/2018	1,079.69
5/22/2018	1,069.73
5/21/2018	1,079.58
5/18/2018	1,066.36
5/17/2018	1,078.59
5/16/2018	1,081.77
5/15/2018	1,079.23
5/14/2018	1,100.20
5/11/2018	1,098.26
5/10/2018	1,097.57
5/9/2018	1,082.76
5/8/2018	1,053.91
5/7/2018	1,054.79
5/4/2018	1,048.21
5/3/2018	1,023.72
5/2/2018	1,024.38
5/1/2018	1,037.31
4/30/2018	1,017.33
4/27/2018	1,030.05
4/26/2018	1,040.04
4/25/2018	1,021.18
4/24/2018	1,019.98
